City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Te Anau,NZ,-45.4167,167.7167,43.25,83,57,0.4,broken clouds
1,Ushuaia,AR,-54.8,-68.3,53.26,40,40,23.02,light rain
2,Port Lincoln,AU,-34.7333,135.8667,58.98,77,0,7.25,clear sky
3,Tongliao,CN,43.6125,122.2653,24.39,78,34,11.7,scattered clouds
4,Oropesa,PE,-13.5928,-71.7719,62.46,44,75,2.3,broken clouds
5,Avarua,CK,-21.2078,-159.775,75.25,73,16,1.14,few clouds
6,Moron,AR,-34.6534,-58.6198,66.09,94,90,5.75,thunderstorm with rain
7,Busselton,AU,-33.65,115.3333,59.29,91,77,8.14,broken clouds
8,Ginda,IN,30.6945,78.4932,45.19,26,0,6.69,clear sky
9,Rikitea,PF,-23.1203,-134.9692,76.44,73,7,16.58,clear sky
10,Dikson,RU,73.5069,80.5464,-14.94,100,100,11.05,overcast clouds
11,Alta Floresta,BR,-9.8756,-56.0861,89.42,62,40,9.22,scattered clouds
12,Longyearbyen,SJ,78.2186,15.6401,10.24,56,75,23.02,broken clouds
13,Mayo,US,38.8876,-76.5119,59.04,49,5,4.38,clear sky
14,Jinxiang,CN,27.4327,120.6062,60.28,92,100,10.29,overcast clouds
15,Nevelsk,RU,46.6733,141.8633,16.23,73,54,16.67,broken clouds
16,Punta Arenas,CL,-53.15,-70.9167,51.91,62,75,29.93,light rain
17,Tolaga Bay,NZ,-38.3667,178.3,60.48,87,98,2.28,light rain
18,Port Blair,IN,11.6667,92.75,80.44,75,59,6.46,broken clouds
19,Nioki,CD,-2.7167,17.6833,73.8,89,94,2.48,overcast clouds
20,Hermanus,ZA,-34.4187,19.2345,64.6,83,47,10.16,light rain
21,Nanortalik,GL,60.1432,-45.2371,41.99,91,100,14.94,light rain
22,Hithadhoo,MV,-0.6,73.0833,81.79,74,78,15.99,broken clouds
23,Severo-Kurilsk,RU,50.6789,156.125,33.26,73,96,17.2,overcast clouds
24,Ballina,AU,-28.8667,153.5667,66.24,87,99,8.32,overcast clouds
25,Coquimbo,CL,-29.9533,-71.3436,65.93,68,0,16.11,clear sky
26,Norsup,VU,-16.0667,167.3833,79.43,81,8,6.87,clear sky
27,Upernavik,GL,72.7868,-56.1549,-7.76,73,4,10.09,clear sky
28,Mar Del Plata,AR,-38.0023,-57.5575,65.41,84,100,15.28,light rain
