City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Te Anau,NZ,43.25,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
1,Ushuaia,AR,53.26,light rain,-54.8,-68.3,Albatros Hotel
2,Port Lincoln,AU,58.98,clear sky,-34.7333,135.8667,Port Lincoln Hotel
7,Busselton,AU,59.29,broken clouds,-33.65,115.3333,Observatory Guest House
8,Ginda,IN,45.19,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
13,Mayo,US,59.04,clear sky,38.8876,-76.5119,Resorts Resource Group International
16,Punta Arenas,CL,51.91,light rain,-53.15,-70.9167,Hotel Dreams Del Estrecho
21,Nanortalik,GL,41.99,light rain,60.1432,-45.2371,Hotel Kap Farvel
32,Bethel,US,35.96,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
63,Bluff,NZ,52.43,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
67,Olafsvik,IS,42.76,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
73,Davidson,US,53.89,broken clouds,36.1501,-86.7833,Best Western Plus Music Row
75,Jamestown,US,36.72,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
78,Malyye Derbety,RU,43.29,scattered clouds,47.9547,44.6808,
80,Codrington,AU,46.08,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
90,Alice Springs,AU,56.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
92,Ziro,IN,38.39,clear sky,27.6333,93.8333,Ka-ngam homestay
94,Plerin,FR,42.28,broken clouds,48.5425,-2.7798,Hotel Ker Izel
95,Hamilton,US,45.45,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
101,Suvorovo,BG,54.01,overcast clouds,43.3333,27.6,Hotel G Mar
102,Qaqortoq,GL,36.1,moderate rain,60.7167,-46.0333,Siniffik Inn
103,Mataura,NZ,41.85,broken clouds,-46.1927,168.8643,Ellie's Villa
105,Grindavik,IS,43.27,mist,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
108,Talas,TR,45.27,scattered clouds,38.6908,35.5538,Fimaj Residence
116,Parkersburg,US,46.38,overcast clouds,39.2667,-81.5615,The Blennerhassett Hotel
129,Zhumadian,CN,45.14,clear sky,32.9794,114.0294,Ouyue House Hotel
130,Seoul,KR,36.84,mist,37.5683,126.9778,Lotte Hotel Seoul
134,Bone,DE,36.27,broken clouds,51.9669,12.1396,Sporthotel Wallwitz
137,Torbay,CA,48.97,scattered clouds,47.6666,-52.7314,Gallows Cove
139,Peniche,PT,56.68,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
